                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.52681,                0.12282,                0.92465,                0.88369,                0.84747,                0.90164,                0.58031,                 1.2735,                0.26323,                 1.5351,              0.0010135,              0.0010135,              0.0010135
                     89,                0.52843,                0.12273,                0.92509,                0.87711,                0.85552,                0.90152,                0.58188,                 1.2612,                0.25279,                  1.549,             0.00099048,             0.00099048,             0.00099048
                     90,                 0.5164,                0.12098,                0.92308,                0.89364,                0.84357,                0.90199,                0.58138,                 1.2592,                0.24763,                 1.5585,             0.00096767,             0.00096767,             0.00096767
                     91,                0.49585,                 0.1168,                0.91573,                0.88189,                0.85591,                0.90323,                0.58017,                  1.255,                0.24608,                 1.5708,             0.00094509,             0.00094509,             0.00094509
                     92,                0.48939,                0.11573,                0.91045,                0.88638,                0.85915,                0.90612,                0.57923,                 1.2748,                0.24984,                  1.584,             0.00092273,             0.00092273,             0.00092273
                     93,                0.49542,                 0.1162,                0.91412,                0.87182,                 0.8638,                0.90307,                0.57981,                 1.2738,                0.25005,                 1.5998,             0.00090061,             0.00090061,             0.00090061
                     94,                0.48788,                 0.1149,                0.90652,                0.87412,                 0.8654,                0.90462,                 0.5794,                 1.2673,                0.24838,                 1.5849,             0.00087874,             0.00087874,             0.00087874
                     95,                0.48053,                0.11516,                0.90399,                0.89022,                0.84561,                 0.9035,                0.57921,                 1.2647,                0.25115,                 1.5842,             0.00085714,             0.00085714,             0.00085714
                     96,                 0.4734,                0.11193,                  0.894,                0.87684,                0.85482,                0.90255,                0.58354,                  1.268,                0.25853,                 1.5759,             0.00083581,             0.00083581,             0.00083581
                     97,                0.46542,                0.11082,                 0.8925,                0.88113,                0.85156,                0.90219,                0.58366,                 1.2608,                0.26214,                 1.5704,             0.00081476,             0.00081476,             0.00081476
